"","Year","Month","Stock_Vw_Ret","Stock_Ew_Ret","Stock_lag_MV"
"50",1930,2,0.0279766287039069,0.0355072589413448,58958882.375
"51",1930,3,0.0744213744618012,0.104697387234043,60384498.1875
"52",1930,4,-0.018507739909342,-0.0432495768688293,65130697.875
"53",1930,5,-0.0142031312292696,-0.0385455698324022,63976755.375
"54",1930,6,-0.158606751162912,-0.189402957020057,63577514.625
"55",1930,7,0.0429221719984481,0.0348119353932584,53092836.375
"56",1930,8,0.00389510099837182,-0.0183672338028169,56528383.8125
"57",1930,9,-0.124170313503101,-0.152035408277877,56900210.3125
"58",1930,10,-0.088209100462744,-0.0978178067700987,49122272.875
"59",1930,11,-0.0297838711440473,-0.0246417546099291,45197220.8125
"60",1930,12,-0.0770162966875927,-0.14018702538787,43944824.125
"61",1931,1,0.0635305450331917,0.141822914893617,40665042.6875
"62",1931,2,0.10887788575739,0.155026799157303,43210817.4375
"63",1931,3,-0.0625310552121117,-0.0636866831683168,47779922.25
"64",1931,4,-0.0990368874405945,-0.151898765625,44425506.125
"65",1931,5,-0.132742003976879,-0.141001,39951292.5
"66",1931,6,0.139536299200786,0.180700541725601,34652887.5
"67",1931,7,-0.0654753105218458,-0.0681171875881523,39240679.625
"68",1931,8,0.00424640950970062,-0.0188019871611983,36559788.5
"69",1931,9,-0.286261203675757,-0.310718895863053,36420867
"70",1931,10,0.0802695758203009,0.100210017118402,25272456.125
"71",1931,11,-0.0898085296137881,-0.0915468854314003,27250933.375
"72",1931,12,-0.133990669173012,-0.185396194563662,24655875.5625
"73",1932,1,-0.0135604274645351,0.0819240240452617,21180783.375
"74",1932,2,0.0567834387871827,0.0202332368794326,20924459.625
"75",1932,3,-0.109781813152851,-0.119978999359787,21927657.3125
"76",1932,4,-0.177920864693037,-0.180624239477504,19422130.375
"77",1932,5,-0.204054571760083,-0.206440572463768,15843996.125
"78",1932,6,-0.00719555490950677,0.0374429664233577,12456989.875
"79",1932,7,0.338653004068264,0.432242386724387,12141674.1875
"80",1932,8,0.370808052249476,0.669585984057971,16218797.8125
"81",1932,9,-0.0287981147817902,-0.055691005788712,22171199.25
"82",1932,10,-0.131336945713145,-0.165342382608696,21393217.5625
"83",1932,11,-0.0584290676973655,-0.0760297093023256,18516200.6875
"84",1932,12,0.0440919150882006,-0.0385819020467836,17308702.1875
"85",1933,1,0.0132100625545181,0.0370942780203785,17916415
"86",1933,2,-0.152640841713546,-0.155007576642336,18159812.875
"87",1933,3,0.0329526064204559,0.102251774336283,15290756
"88",1933,4,0.391945353809154,0.514985354933726,15497910.25
"89",1933,5,0.214667922147094,0.614246948604993,21646083.3125
"90",1933,6,0.131221525226302,0.228007565088757,26236063.6875
"91",1933,7,-0.0960310230417165,-0.0920853775811209,29578986.5625
"92",1933,8,0.120440791723578,0.113197732937685,26755429.3125
"93",1933,9,-0.105980073356604,-0.150412138643068,29947464.3125
"94",1933,10,-0.0827525810964749,-0.107477920937042,26556626.25
"95",1933,11,0.0994120112708548,0.0649789193548387,24337124.9375
"96",1933,12,0.0184616492534399,0.0181305626822157,26724623.6875
"97",1934,1,0.126434013093316,0.318953972262774,27101031.5
"98",1934,2,-0.0246590294841865,0.0120133682678311,30474744.9375
"99",1934,3,0.00112948857094327,0.0067592598540146,29668552.1875
"100",1934,4,-0.0176621345532843,0.00219085050798258,29518294.625
"101",1934,5,-0.0724585389029736,-0.107807450581395,29037363.6875
"102",1934,6,0.02643108361312,0.00262797525473072,26839795.25
"103",1934,7,-0.109235434886424,-0.18750674340176,27403302.5625
"104",1934,8,0.0556211646602147,0.0961329227405248,24304152.5625
"105",1934,9,-0.00208972222987405,-0.00995308260869565,26020800.875
"106",1934,10,-0.0169820789339057,-0.0183196341107872,25746024.8125
"107",1934,11,0.0834038954782598,0.130529501457726,25426475.625
"108",1934,12,0.00366008693876066,0.0147720406386067,27471503.875
"109",1935,1,-0.034370485050687,-0.0311813469387755,27430006.25
"110",1935,2,-0.0191841138798552,-0.05601935,26411783.5
"111",1935,3,-0.0365753438836176,-0.0746537282127031,25659043.5625
"112",1935,4,0.0911825780890525,0.101260379562044,24443974.625
"113",1935,5,0.0347814325982921,0.0242937540263543,26936188.75
"114",1935,6,0.0593745897019533,0.0410004163027656,27787793.875
"115",1935,7,0.0746865376228869,0.11143849408284,29309745.375
"116",1935,8,0.0266041153999753,0.082111099270073,31398702.125
"117",1935,9,0.0263800190276146,0.0243255065693431,32210581.03498
"118",1935,10,0.0703803377729947,0.0844835938864629,32926389.5
"119",1935,11,0.0489993365457876,0.146932859854015,35174294.0625
"120",1935,12,0.0456945436342662,0.0603097829232996,36745610.75
"121",1936,1,0.0689469377366954,0.150922647482014,38465574
"122",1936,2,0.0250783156976194,0.0451863213773314,41057432.3125
"123",1936,3,0.0101877290443115,0.00884120461095101,42072157.25
"124",1936,4,-0.0819694700010463,-0.122485920454545,42170304.4375
"125",1936,5,0.0520686860917183,0.0513506129943503,39198947.6875
"126",1936,6,0.0242997441291554,-0.00032664265536723,41085238.125
"127",1936,7,0.0668420020646557,0.0812512106741573,42043986.1875
"128",1936,8,0.0100810558992243,0.0214728790436006,44816549.875
"129",1936,9,0.0101651231798385,0.034938673010951,45077852.3125
"130",1936,10,0.0724970800303412,0.0663243642756681,45439882
"131",1936,11,0.0328322071527738,0.0924805286713287,48685277.625
"132",1936,12,0.00213843309246566,0.0272143107931236,49948025.375
"133",1937,1,0.0335218587407238,0.0758576717451524,50137623.9375
"134",1937,2,0.0110408708664233,0.0240470934065934,51791172.1875
"135",1937,3,-0.00246626248950151,0.000703487039563439,52333432.125
"136",1937,4,-0.0731635834281468,-0.100077117006803,52305094.5625
"137",1937,5,-0.00769094123206502,-0.0245142743243243,48511219.6875
"138",1937,6,-0.0418173802840098,-0.0772048202702703,47926671.8125
"139",1937,7,0.0894300698447044,0.0995220240963855,45906356.25
"140",1937,8,-0.0483285687018147,-0.0527425478723404,49888493.75
"141",1937,9,-0.135827681306418,-0.193640957839262,47379058.75
"142",1937,10,-0.0959247315919934,-0.101321538764783,40808249.4375
"143",1937,11,-0.0828949146060516,-0.109440455497382,36950584.5
"144",1937,12,-0.0422100255766829,-0.100927047556143,33429564.6875
"145",1938,1,0.00466945246618796,0.0421098584534731,31687917.9375
"146",1938,2,0.058354371747643,0.0611861897905759,32076420.625
"147",1938,3,-0.237852050327435,-0.285355572178478,33780828.5625
"148",1938,4,0.144329638521276,0.203162023498695,25575289.125
"149",1938,5,-0.0375777176601814,-0.0698124127604167,29265512.5625
"150",1938,6,0.238240606158933,0.30725876953125,28086468.4375
"151",1938,7,0.0732935934553512,0.122901416993464,34566083.5
"152",1938,8,-0.0266592915432479,-0.0630415183727034,37058056.5
"153",1938,9,0.00828855142191947,-0.0149942424639581,35951251.1875
"154",1938,10,0.0778513687658166,0.144322906578947,36104450.0625
"155",1938,11,-0.0178586632709692,-0.0367257931488801,38868737
"156",1938,12,0.0419224068031838,0.0336447063492063,37981939.25
"157",1939,1,-0.059410984333264,-0.0753242704485488,39258873.75
"158",1939,2,0.034972956661288,0.0413996622691293,36786574.3125
"159",1939,3,-0.119890035216767,-0.172948131752306,38051190.8125
"160",1939,4,-0.00197428392241459,0.00135195640686922,33330975.5
"161",1939,5,0.0681333937090716,0.0845819855263158,33224714.8125
"162",1939,6,-0.0529853090983911,-0.083505094305254,35382961.875
"163",1939,7,0.102160318401974,0.135510465544001,33356168.1875
"164",1939,8,-0.0667252555669715,-0.106087368906456,36669918.4375
"165",1939,9,0.168863452426471,0.396846854689564,34008702.1875
"166",1939,10,-0.0052595321352731,-0.00701991413474241,39614111.1875
"167",1939,11,-0.0362042354855989,-0.0810914366754617,39365692.625
"168",1939,12,0.0303036060806622,0.0174442279314888,37618551.25
"169",1940,1,-0.024103372363366,-0.0199620341655716,38546372.5625
"170",1940,2,0.014438958625813,0.0302519869281046,37680115.0625
"171",1940,3,0.0204565630920385,0.0270802310704961,38047270.375
"172",1940,4,0.00216345491983473,0.0138701796875,38702589.375
"173",1940,5,-0.219622191284106,-0.268940066666667,38729250.78125
"174",1940,6,0.0667304266643741,0.0661777604166667,30019791.96875
"175",1940,7,0.0317408841751866,0.0371761105331599,31867069.46875
"176",1940,8,0.0218586543476067,0.0217455864759428,32833279.28125
"177",1940,9,0.0239464022551169,0.0377294922077922,33327290.90625
"178",1940,10,0.0302359698339546,0.0482123363636364,34002186.4375
"179",1940,11,-0.0160980456292147,-0.00187458732212161,34975329.34375
"180",1940,12,0.00694245428199822,-0.0182260064683053,34096799.3125
"181",1941,1,-0.0417744119476298,-0.00695848124191462,34190435.98728
"182",1941,2,-0.0143751364657664,-0.0196988796895213,32745931.9731
"183",1941,3,0.00856402976649222,0.0145760630630631,32074849.15094
"184",1941,4,-0.0546227570802862,-0.0573300475578406,32176834.03125
"185",1941,5,0.0138950429200335,0.00957970769230769,30368047.80473
"186",1941,6,0.0583423241218873,0.066650917843389,30554591.53047
"187",1941,7,0.0589587519444165,0.129792595115681,32128863.43177
"188",1941,8,-0.00168066973919026,-0.00709760077021823,33984602.29978
"189",1941,9,-0.00864418588201117,-0.0203317282051282,33746936.2093
"190",1941,10,-0.0524787819535378,-0.0625657650063857,33303150.21875
"191",1941,11,-0.0192100258583441,-0.0346860064020487,31511533.19122
"192",1941,12,-0.0486485326476932,-0.0822279002557545,30498279.138
"193",1942,1,0.00810507697797514,0.134096920817369,28845167.71875
"194",1942,2,-0.0244842470210075,-0.0174430204081633,29026515.27388
"195",1942,3,-0.0656641180750153,-0.0520603933588761,28137020.16817
"196",1942,4,-0.0436993366191871,-0.0465557910828025,26112151.02021
"197",1942,5,0.0596977101621493,0.0284428504435995,24927333.16029
"198",1942,6,0.0271881752459016,0.0251640647208122,26229982.25422
"199",1942,7,0.0353349812087278,0.0458516882951654,26743015.04003
"200",1942,8,0.0182469150036525,0.0284506734434562,27615809.66131
"201",1942,9,0.0263742735903796,0.0480028770595691,27956325.56027
"202",1942,10,0.0684534367408966,0.100324716645489,28524446.43065
"203",1942,11,0.00178044186110431,-0.0149141334180432,30410358.49274
"204",1942,12,0.0514721714213181,0.035095596178344,30156632.84375
"205",1943,1,0.0715966603229951,0.168807281170483,31457964.75
"206",1943,2,0.0617260158853855,0.132375703939009,33675546
"207",1943,3,0.0604463215734787,0.111220983502538,35607786.125
"208",1943,4,0.00842869813446571,0.0354434815756035,37567752.9375
"209",1943,5,0.0575863949696463,0.0851579783715013,37820246.5665
"210",1943,6,0.0186667672027566,0.0118996738853503,39797202.8125
"211",1943,7,-0.0474527348605814,-0.0642374440203562,40336962.0625
"212",1943,8,0.0134685712297671,0.00338931091370558,38815032.875
"213",1943,9,0.0242410469434287,0.0350112313527181,39223630.0625
"214",1943,10,-0.0111731639192653,-0.00342500883838384,39978316.53525
"215",1943,11,-0.0587272280503239,-0.0877988113207547,39597494.254
"216",1943,12,0.0636559086176076,0.0987322113207547,36971054.73765
"217",1944,1,0.0180221942761662,0.0461243786163522,38936154.15625
"218",1944,2,0.00398495053135514,0.0136552481203007,39792118.6875
"219",1944,3,0.0249147720765979,0.0413873508114856,39768600.7064
"220",1944,4,-0.0165904803096794,-0.029101349127182,40559293.09375
"221",1944,5,0.0508091277854205,0.0658309138576779,39847837.625
"222",1944,6,0.0553278246656981,0.104763436408978,41602144.48728
"223",1944,7,-0.0145836826237151,-0.0123073620474407,43717354.90625
"224",1944,8,0.0159634962850209,0.030656250931677,43072140.75
"225",1944,9,0.000322405511378706,0.000149170846741933,43567535.1875
"226",1944,10,0.00188034735957168,0.000294203473945405,43449112.1875
"227",1944,11,0.0174141869062009,0.0235031079404466,43476466.1875
"228",1944,12,0.0405093081497116,0.0690451426799008,43847554.53125
"229",1945,1,0.0205060681370229,0.044105513546798,45891149.25
"230",1945,2,0.0624868391682096,0.0852879471744472,46885672.3125
"231",1945,3,-0.0386884657499403,-0.0564260159901599,49609974.6875
"232",1945,4,0.0781056063269049,0.0884106303549572,47504674.25
"233",1945,5,0.0177315081242199,0.0300553936430318,51192427.375
"234",1945,6,0.00412418093215861,0.0367023754556501,52024599.625
"235",1945,7,-0.0213916022409819,-0.0343379296969697,52080792
"236",1945,8,0.0623097651393843,0.0663402496969697,50942657.625
"237",1945,9,0.0479372475202113,0.0626395229468599,53915950.75
"238",1945,10,0.039253212637299,0.0649207693236715,56329670.9375
"239",1945,11,0.0540953875109526,0.0965139638118215,58551848.0625
"240",1945,12,0.0122593538944368,0.0240395982275633,61393085.8125
"241",1946,1,0.0627306805484079,0.0942085675029869,62872310.375
"242",1946,2,-0.0579693549161089,-0.0662203748517201,67168405.6875
"243",1946,3,0.0590058153396314,0.0582616319526627,63133127
"244",1946,4,0.0425568066308313,0.0525660812720848,66781050
"245",1946,5,0.0396282772700344,0.0548854032825322,69677217.75
"246",1946,6,-0.0385828155825277,-0.0486171651162791,72520516
"247",1946,7,-0.0265993018429127,-0.0410956658932715,69564917.6875
"248",1946,8,-0.0641158240684641,-0.07520796326062,68013058.6875
"249",1946,9,-0.101312282610038,-0.13531152739726,63483220.4375
"250",1946,10,-0.0141678678914917,-0.0119879465301479,56887226.5625
"251",1946,11,0.000143643668002615,-0.00287404318181818,56016749.1875
"252",1946,12,0.0498814547030446,0.0466548519774011,55662224.9375
"253",1947,1,0.0127731559162386,0.029863095505618,58446845.9375
"254",1947,2,-0.0105055763151253,-0.00701557718120805,59255154
"255",1947,3,-0.0163815384241825,-0.0306621498881432,58294732.5
"256",1947,4,-0.0476951062081418,-0.0820420878754171,57258089.3125
"257",1947,5,-0.00946741890886037,-0.0378080523385301,54485143.0625
"258",1947,6,0.0531694266349704,0.0569839276974416,53646888.9375
"259",1947,7,0.0416110618446455,0.0622551838316722,56400118.125
"260",1947,8,-0.0171437719985038,-0.0172440771775083,58744491.6875
"261",1947,9,-0.00470069683259215,0.00565989047097481,57644373
"262",1947,10,0.0253799516199914,0.0339578232711306,57195725.4375
"263",1947,11,-0.0190670219107028,-0.0295501498905908,58533885.25
"264",1947,12,0.0307710729019829,0.023242443960827,57022086.6875
"265",1948,1,-0.0385448645953781,-0.0165619848320693,58780483.8125
"266",1948,2,-0.0429820128136671,-0.0592623991370011,56612638.4375
"267",1948,3,0.0814735319889815,0.0945501913978495,53801986.25
"268",1948,4,0.0372480911615474,0.0396426663090129,57921434.8125
"269",1948,5,0.0739081323120657,0.0877387873931624,60096154.8125
"270",1948,6,-3.90135902095691e-05,-0.0123797211538462,64216384.625
"271",1948,7,-0.0499326610822475,-0.0531852204472843,63912898.3125
"272",1948,8,0.00332498504092697,-0.00228443630573249,60658588.1875
"273",1948,9,-0.0293075255585832,-0.0425765737009544,60494693.0625
"274",1948,10,0.0600121557117328,0.0531049343220339,58445605.875
"275",1948,11,-0.0926241858419157,-0.106402942857143,61786084.25
"276",1948,12,0.0330175413149283,0.0130290137420719,55456182.8125
"277",1949,1,0.00326431182784438,0.0181912101372756,57108092
"278",1949,2,-0.0283677982955199,-0.0411667642105263,57286909.875
"279",1949,3,0.0413318429962089,0.059256320754717,55403732.625
"280",1949,4,-0.0177266768171758,-0.0315534728033473,57399738
"281",1949,5,-0.0285192284485094,-0.043211669447341,56330133.625
"282",1949,6,0.00190727747081172,-0.00806037291666667,54424730.1875
"283",1949,7,0.0562099533398214,0.062399765625,54166153.0625
"284",1949,8,0.0269607153743514,0.0254789116424116,57260711.1875
"285",1949,9,0.0318177223406238,0.043433917184265,58400595.6875
"286",1949,10,0.0323156042877678,0.0393046305469556,60300326.375
